ec2-php-m5adlarge
KVM testing on Amazon Linux 2 via the Phoronix Test Suite.

 ,,"php71","php72","php74","php8"
Processor,,AMD EPYC 7571 (1 Core / 2 Threads),AMD EPYC 7571 (1 Core / 2 Threads),AMD EPYC 7571 (1 Core / 2 Threads),AMD EPYC 7571 (1 Core / 2 Threads)
Motherboard,,Amazon EC2 m5ad.large (1.0 BIOS),Amazon EC2 m5ad.large (1.0 BIOS),Amazon EC2 m5ad.large (1.0 BIOS),Amazon EC2 m5ad.large (1.0 BIOS)
Chipset,,Intel 440FX 82441FX PMC,Intel 440FX 82441FX PMC,Intel 440FX 82441FX PMC,Intel 440FX 82441FX PMC
Memory,,1 x 8192 MB DDR4-2667MHz,1 x 8192 MB DDR4-2667MHz,1 x 8192 MB DDR4-2667MHz,1 x 8192 MB DDR4-2667MHz
Disk,,9GB Amazon Elastic Block Store + 75GB Amazon EC2 NVMe Instance Storage,9GB Amazon Elastic Block Store + 75GB Amazon EC2 NVMe Instance Storage,9GB Amazon Elastic Block Store + 75GB Amazon EC2 NVMe Instance Storage,9GB Amazon Elastic Block Store + 75GB Amazon EC2 NVMe Instance Storage
Network,,Amazon Elastic,Amazon Elastic,Amazon Elastic,Amazon Elastic
OS,,Amazon Linux 2,Amazon Linux 2,Amazon Linux 2,Amazon Linux 2
Kernel,,4.14.238-182.422.amzn2.x86_64 (x86_64),4.14.238-182.422.amzn2.x86_64 (x86_64),4.14.238-182.422.amzn2.x86_64 (x86_64),4.14.238-182.422.amzn2.x86_64 (x86_64)
Compiler,,GCC 7.3.1 20180712,GCC 7.3.1 20180712,GCC 7.3.1 20180712,GCC 7.3.1 20180712
File-System,,xfs,xfs,xfs,xfs
System Layer,,KVM,KVM,KVM,KVM

 ,,"php71","php72","php74","php8"
"PHP Micro Benchmarks - Test: Zend bench (sec)",LIB,1.174,0.868,0.700,0.627
"PHP Micro Benchmarks - Test: Zend micro_bench (sec)",LIB,4.339,3.740,3.053,2.943

